User Name,Text
Rakesh Kumar_169,wish bjp rule country full majority coming elections also serviceman working bhel bhopal spirit enthusiasm soldiers cannot ignored necessary training spirit bhel included nationwide campaign thousands acres land lying vacant near bhel bhopal found accommodation soldiers living also given lease thing seen big success government time next election soldiers lead nomadic life replacing also virtuous act ministry defense also government land policies replace soldiers proposal considered beneficial bhel land hands right people credit bjp money land value government treasury replacement servicemen
PROF RAJENDRA KUMAR VIPAT,hon respected prime minister sir please find enclosed draft scheme wich mile stone area ease life common citizen bharat warsh prime ministers special drive ease life common citizen india series yojna title scheme quick service home electric mitra scheme objectives scheme provide quick service remedy ordinary daily requirements repairs home appliances fittings electrical home appliances organise skilled semi skilled unskilled labour supervisors workers recognised national portal give adequate recognition ultimately make easy life common man willing pay little amount smart services scheme central government appropriate help smse department skill development department open national portal domestic electricians continue
Piyush Shrivastava,sir please make necessary reforms dismissal character judiciary government police due corruption improper working style injustice done right weaker sections
Piyush Shrivastava,sir kindly observe religion castes leaders including honorable president sitting important posts country proved scheduled castes scheduled tribes obc muslim classes longer backward weak breaking law see criminal records reason end reservation minority benefits without delay expected properly protecting rights general class reservation given business well giving proper place politics
Shivangkumarsingh,people highlight news take government central state government investment lakh crores lakh jobs provided departments government india requested like share make reach many people possible
NareshKapoor,difference thinking india pakistan pathan replied irfan pathan former rounder indian team responded tweet shahbaz sharif pathan wrote comment difference focus improving country indian culture victory defeat neither lost victory distraught defeat india war many times taught lesson pakistan penetrating inside even attacked still keep inch land till date whatever muslim human beings remained india religion based partition got opportunities grow like growing also today number increased many times even today shortage successfully decorated post president india protector three armies many times hindu families remained pakistan many today difference india pakistan
Mahaveer Gurjar,agricultural laborer agricultural worker means person whose percent income derived wages farms main source income agricultural laborers labor farms nothing else except hard work earn living also get benefit kisan samman nidhi family continue working agriculture migrate cities
Mahaveer Gurjar,bond bpl removed old age pension many poor people helped except income tax payer elderly people get benefit old age pension
NeerajSingh,sir training exploited agencies name skill development hidden anyone many agencies providing food name training due trainer trainee bear brunt agencies even give salary exploiting saying money comes government get coach finds completely trapped comes know work policy made salary received till deducted skills india dream strict action taken agencies suggest found ways everywhere suitable alternative surely emerge less corruption today trainer getting hear salary thousand cash development may make future country efficient today present definitely becoming inefficient unsafe contaminated
Rajesh Chourasia,complaint request made pmo resolved till asking feedback rating give feedback
Adv Praveen Pratap,sir ordinary people like lot expectations one else able saintly person like hardly able strong power destroy corruption completely fact people bribe taken cannot take action corrupt keep enjoying common people exploited sir even one step towards jai bharat hail modi
Praful Rajaram More,get lakh par yakti best idea
Uttam Das,forcible stoppage house pradhan mantri awas yojana encroachment copy given bihar government bablu singh pleased give rights mahavir das high court lakhisarai sub divisional public redressal officer already gone justice found many officials found jamini dispute mahavir das wrong report made district officer found request prime minister solve problem mahavir das barhiya bodh nagar ward district lakhisarai
Jitesh Mishra,unusable railway buildings railway tracks wood use auctioned publicly one lakh crore rupees money transform railways government pays attention
Jitesh Mishra,indian evidence act reformed due thousands vehicles useful items lying every police station country getting spoiled goods videographed presented evidence court goods sent owners auction big change gdp
Pankaj Bhutani,going since time british fill form caste must written write full name also write surname suppose mobile lost police station apply sim accept writing caste least government employees duty wearing name plates put name plates outside room advised write surname indicating caste
Pankaj Bhutani,whenever competitive examination held city road train city overcrowded natural impossible estimate number youths come small towns hope getting government job exam conducted towns petrol worth lakhs crores country saved
Shakti Mandal,mohday want say something corruption basirhat police west bengal involved gus khodi misuses strength power basirhat police basirhat bhi police anything bribe rupees even sin play life christian government accountant magistrate basirhat court also sold workers tmc party basirhat torture innocent people rupees harass human rights commission gives case police police nothing criminals contrary troubles innocent people make separate party party like gus khod stop atrocities police keep eye work police punish guilty police personnel forming new party employment also increase justice also served
Shakti Mandal,mohday want say something corruption basirhat police west bengal involved gus khodi misuses strength power basirhat police basirhat bhi police anything bribe rupees even sin play life christian government accountant magistrate basirhat court also sold workers tmc party basirhat torture innocent people rupees harass human rights commission gives case police police nothing criminals contrary troubles innocent people make separate party party like gus khod stop atrocities police keep eye work police punish guilty police personnel forming new party employment also increase justice also served
Dwarka Pathak,respected sir every village panchayat given responsibility many families brought poverty line tenure
Paramveer Singh,format often played indians betting market format half players opposite team taken participants dream good nationality people good nationality people lost match
Sanjay Kumar Singh,joining mygov realizing big difference bringing lives becoming aware complete task mygov soul stops going think joined mygov would donated clothes poor would informed police saved tree set fire people etc many things inspired mygov thus mygov bringing big change lives keep going
YashDipakPatil,rupee expiry date everything expiry date rupee expiry date written note people automatically bank convert old notes new notes notes valid five years done cash automatically come bank account problem black money also solved automatically
Vaibhav Pandya,sir suggestion issue helpline number nhi problems farmers whose land acquired nhi solved officers listening farmers appropriate action taken sir house also demolished due road construction compensation given nhi please consider advice
LALIT TIWARI,suggestion rbi put bar code checks clearing done clearing house easily next revolution check gets cashed entering atm machine lalit tiwari
Nitish Sharma,understand vishwaguru india everyday rape citizens fight among sleep hungry poverty loot murders corruption india problem peace progress every field share
Ritik Kumar,first want introduce name hrithik kumar bihar entire bihar issue government schools government hospitals closed teachers government schools bihar teach anything children come sit chair condition government hospitals also whole bihar want everything private way reform corrupt teachers corrupt doctors bihar lal bihar ritik kumar jai hind jai bharat
Pradeep Gupta,rupee expiry date suggestion everything expiry date rupee expiry date written note people automatically bank convert old notes new notes notes valid five years done cash automatically come bank account problem black money also solved automatically
Banti Kumar,suggestion things improved call good things india jay hind jay bharat
Vijay Sharma,personal view days big member shiv sena gone meet maharashtra state attacks hindu leaders punjab let see goes meet uddhav thackeray nath shinde
Satish Kumar Vashist,indian economy seen great growth last decades credit boom largely goes services sector agriculture allied activities also improved match global standards exports various food products seen rise boosting economic growth
Rakesh Kumar Jain,share thoughts policies
Sachin Kumar Verma,suffered years slavery plans east india company england youths misled chit fund companies due whose evil influence thousands millions people gave lives
RAM SINGH PAL,old pension system restored employees otherwise coming time old age home home system visible india
RAM SINGH PAL,nearby big canals used resource running streamers entertainment due employment also available people minimum consumption energy
DeepakAnandaRedekar,whatever public transport system states done central government use public transport state govt personal transport
Rahul Kashyap,respected prime minister also mention people private jobs like factory workers shops showrooms etc mann baat large section middle class forced take jobs ranging due employment hours days month class unable make much progress due low income time participate public service get much exemption job somewhere compulsion leave cut danger losing job
Mika Pandey,dear indians think indian youtubers made youtube video ssr case would ever come know truth case would ever get know many dark sides indian system incredibly determined young indian youtubers kept making youtube videos ssr case united indians world justice sushant singh rajput tell youtubers unite indians world ssr case difficult task unite indians country state city village locality nation building work left hand delay unite youtubers cities villages miga start making youtube videos unite indians world support contribute cause country ready please read pdf
Makarand Chandrakant Baraskar,like jeans sports india mission working successfully sports request campaign film industry expand develop jeans also university works development singers artists songwriters musicians writers skills related along better ecosystem also developed modern equipment platform effect creation animation technical know
Subrata Das,indian railways completely privatized handed companies like tata reliance people country benefited well common railway employees like specially benefited majority common people tax money saved going pockets unscrupulous officials
ARUN KUMAR TRIPATHI,respected prime minister greetings greetings know thing well country weakness judicial system penal system correct effective matter much country tries never completely may develop corruption misconduct kind unethical act country less therefore would like request sincere request legislature consider matter seriously take concrete steps improvement possible future
RamjeeTiwari,respected sir believe children taught indian market along education school also given knowledge country economy economic development teach children economic development take competition exam
RAM BABU SAH,lot related science everyone children everyone enjoy well
ANKIT KUMAR_289,request honorable prime minister works linked ration card public jai hind jai bharat
Vinod Kumar_3010,honorable aadhaar cards masked numbers accepted government offices
Vishalvithobajighode,respected prime minister suggestion tobacco products drug abuse stop tobacco products also control cultivation ban cigarette bidi gutkha also allow
Anil Kumar Yadav,dear prime minister narendra modi china spy ship infiltrating indian ocean first ask remove ship removed spy ship destroyed directly china ghost kicks believe words clear message tease world leave whether pakistan china thank
ARUN KUMAR TRIPATHI,respected prime minister greetings greetings sir image government india becoming anti employee among people country right way people country government non government employees hope protect interests example pmopg please try observe
